epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,31714.9,1.39274,1.17961,1.29865,0.89599,0.76871,0.88514,0.48172,0.91911,1.62416,0.70238,0.005842,0.005842,0.005842
44,33532.8,1.39309,1.17119,1.29817,0.9272,0.77981,0.88794,0.48562,0.92213,1.52742,0.70456,0.005743,0.005743,0.005743
45,34306.5,1.39583,1.1806,1.30006,0.87802,0.78347,0.89624,0.48595,0.92604,1.57772,0.70972,0.005644,0.005644,0.005644
46,34837.2,1.38372,1.16099,1.29343,0.85415,0.78231,0.88428,0.48499,0.9247,1.54504,0.71132,0.005545,0.005545,0.005545
47,35377.7,1.3836,1.16715,1.29603,0.89757,0.77496,0.89808,0.4845,0.93089,1.60083,0.7139,0.005446,0.005446,0.005446
48,35922.2,1.38377,1.15491,1.29224,0.91076,0.77551,0.90451,0.48868,0.93233,1.5929,0.71403,0.005347,0.005347,0.005347
49,36475.5,1.37743,1.15006,1.28657,0.91735,0.75506,0.90346,0.48462,0.93254,1.54692,0.71432,0.005248,0.005248,0.005248
50,37001.6,1.37474,1.15564,1.28635,0.84944,0.78231,0.89361,0.48628,0.93088,1.54248,0.71043,0.005149,0.005149,0.005149
51,37533.2,1.3797,1.14537,1.28571,0.84857,0.76242,0.8934,0.48402,0.93387,1.57489,0.71199,0.00505,0.00505,0.00505
52,38062.4,1.37261,1.13902,1.27656,0.86191,0.7619,0.88173,0.48611,0.92932,1.59574,0.71013,0.004951,0.004951,0.004951
53,38596,1.3778,1.13748,1.2826,0.8617,0.79592,0.88968,0.4859,0.92799,1.58026,0.7084,0.004852,0.004852,0.004852
54,39135.7,1.37077,1.13951,1.27678,0.86625,0.81633,0.89526,0.48513,0.92662,1.52354,0.7084,0.004753,0.004753,0.004753
55,39670.4,1.3661,1.12459,1.27781,0.87425,0.80272,0.90378,0.48963,0.92387,1.50325,0.70808,0.004654,0.004654,0.004654
56,40202.7,1.35558,1.11914,1.26786,0.87518,0.81633,0.90192,0.48582,0.92425,1.51116,0.70842,0.004555,0.004555,0.004555
57,40734.1,1.35265,1.10877,1.26809,0.88866,0.81443,0.90377,0.49222,0.92367,1.54956,0.70849,0.004456,0.004456,0.004456
58,41266.6,1.36367,1.11132,1.27085,0.87673,0.81633,0.90468,0.4941,0.92496,1.57101,0.70898,0.004357,0.004357,0.004357
59,41795.7,1.35305,1.10805,1.26517,0.87698,0.81633,0.90532,0.49647,0.92446,1.58792,0.71004,0.004258,0.004258,0.004258
60,42317.5,1.34756,1.11334,1.2651,0.86956,0.81626,0.90482,0.4973,0.9224,1.64469,0.70936,0.004159,0.004159,0.004159
61,42851.6,1.34942,1.10404,1.26492,0.87481,0.80812,0.90481,0.4955,0.92007,1.63574,0.70873,0.00406,0.00406,0.00406
62,43375.9,1.35082,1.10426,1.26347,0.87509,0.81018,0.90465,0.49439,0.92039,1.65058,0.71004,0.003961,0.003961,0.003961
63,43903.8,1.34944,1.10118,1.26177,0.88142,0.82313,0.90865,0.49851,0.91898,1.69044,0.71026,0.003862,0.003862,0.003862
64,44420.8,1.33976,1.08803,1.2574,0.88219,0.82313,0.90859,0.49985,0.91657,1.6986,0.70978,0.003763,0.003763,0.003763
65,45079.4,1.33966,1.10423,1.26028,0.88192,0.82313,0.90811,0.49649,0.91724,1.69731,0.71022,0.003664,0.003664,0.003664
66,45840,1.33687,1.08309,1.25654,0.88575,0.82313,0.90906,0.50021,0.91586,1.69306,0.70934,0.003565,0.003565,0.003565
67,46360.4,1.34165,1.08565,1.25753,0.8865,0.82313,0.90905,0.50337,0.91332,1.69101,0.70783,0.003466,0.003466,0.003466
68,46896.4,1.33596,1.08228,1.25199,0.88583,0.82313,0.90913,0.50068,0.91332,1.68895,0.70702,0.003367,0.003367,0.003367
69,47436.9,1.33923,1.08131,1.25651,0.88779,0.82313,0.91039,0.50243,0.91315,1.68094,0.70668,0.003268,0.003268,0.003268
70,47977,1.32216,1.07328,1.25026,0.88266,0.81876,0.91092,0.5013,0.91123,1.67927,0.70596,0.003169,0.003169,0.003169
71,48520.2,1.32264,1.06424,1.24745,0.88286,0.82034,0.91064,0.49877,0.90967,1.69996,0.70497,0.00307,0.00307,0.00307
72,49071,1.32334,1.06243,1.24432,0.88277,0.81967,0.90938,0.49943,0.91058,1.68805,0.7053,0.002971,0.002971,0.002971
73,49606.3,1.31015,1.0552,1.24382,0.88236,0.82313,0.90908,0.50054,0.91125,1.69349,0.7058,0.002872,0.002872,0.002872
74,50138.5,1.31413,1.05372,1.24029,0.88189,0.81633,0.90846,0.50397,0.91085,1.68564,0.70596,0.002773,0.002773,0.002773
75,50675.2,1.31272,1.05254,1.24302,0.88161,0.81051,0.90858,0.50363,0.91326,1.68495,0.70668,0.002674,0.002674,0.002674
76,51216.2,1.30848,1.04124,1.23876,0.88656,0.80952,0.90927,0.50389,0.91388,1.68553,0.70694,0.002575,0.002575,0.002575
77,51764.7,1.31444,1.05508,1.24214,0.87689,0.82375,0.91559,0.506,0.91342,1.69197,0.70659,0.002476,0.002476,0.002476
78,52310.9,1.30808,1.04192,1.23305,0.87061,0.82391,0.9154,0.50327,0.91406,1.68048,0.7065,0.002377,0.002377,0.002377
79,52841,1.30686,1.04483,1.23662,0.87045,0.82277,0.90475,0.50334,0.91196,1.66977,0.70593,0.002278,0.002278,0.002278
80,53377.3,1.30192,1.0333,1.22874,0.87708,0.8252,0.90758,0.50673,0.91487,1.65867,0.70657,0.002179,0.002179,0.002179
81,54563.3,1.30123,1.02756,1.22881,0.8765,0.82993,0.90817,0.50239,0.91313,1.66836,0.70632,0.00208,0.00208,0.00208
82,56329.8,1.29685,1.0272,1.22816,0.87131,0.82909,0.908,0.50129,0.91391,1.66228,0.70621,0.001981,0.001981,0.001981
83,57381.9,1.29471,1.02443,1.22665,0.88718,0.83673,0.9138,0.50117,0.91384,1.64532,0.70546,0.001882,0.001882,0.001882
84,58788.5,1.28632,1.01425,1.22076,0.87329,0.82993,0.90818,0.50038,0.91211,1.63219,0.70465,0.001783,0.001783,0.001783
85,60321.2,1.28659,1.0078,1.22407,0.88719,0.83673,0.91416,0.50407,0.9112,1.61678,0.70381,0.001684,0.001684,0.001684
86,61516.5,1.29148,1.01824,1.22557,0.89055,0.82313,0.91082,0.50652,0.9122,1.61132,0.70435,0.001585,0.001585,0.001585
87,62517.5,1.27927,1.00365,1.21909,0.88934,0.8201,0.91064,0.50615,0.90993,1.60702,0.70312,0.001486,0.001486,0.001486
88,63696.8,1.28333,1.00696,1.2188,0.89596,0.8202,0.91086,0.50576,0.91029,1.61394,0.70326,0.001387,0.001387,0.001387
89,64709.6,1.27905,1.00576,1.21709,0.8955,0.81616,0.91061,0.50621,0.90979,1.61343,0.70325,0.001288,0.001288,0.001288
90,65439.2,1.27749,1.00015,1.21861,0.89528,0.81421,0.91193,0.50533,0.91032,1.60274,0.70311,0.001189,0.001189,0.001189
91,66331.6,1.3643,1.0425,1.27518,0.87246,0.83762,0.91516,0.50418,0.91277,1.59169,0.7039,0.00109,0.00109,0.00109
92,67495.3,1.34693,1.01287,1.26542,0.86526,0.83005,0.91254,0.50591,0.91374,1.5787,0.70457,0.000991,0.000991,0.000991
93,69166.4,1.33748,1.00059,1.25581,0.86554,0.82993,0.91237,0.50504,0.915,1.57414,0.7057,0.000892,0.000892,0.000892
94,70169.4,1.32815,1.0012,1.25265,0.8716,0.83117,0.91293,0.50467,0.91629,1.56137,0.70583,0.000793,0.000793,0.000793
95,70676.5,1.31904,0.98666,1.24927,0.87045,0.82313,0.90967,0.5087,0.91731,1.54937,0.70661,0.000694,0.000694,0.000694
96,71188,1.31813,0.97769,1.24623,0.87032,0.8218,0.90771,0.51149,0.91955,1.53073,0.70827,0.000595,0.000595,0.000595
97,71697.6,1.3112,0.9705,1.2409,0.87126,0.82993,0.90752,0.50951,0.92321,1.51349,0.70998,0.000496,0.000496,0.000496
98,72191.5,1.30684,0.97261,1.23937,0.87133,0.82918,0.9076,0.50847,0.92552,1.49368,0.71116,0.000397,0.000397,0.000397
99,72687.7,1.30605,0.96319,1.23747,0.87642,0.82016,0.90657,0.50769,0.92683,1.48604,0.71216,0.000298,0.000298,0.000298
100,73183,1.30431,0.9716,1.23538,0.8767,0.82229,0.90662,0.50909,0.92902,1.47506,0.71331,0.000199,0.000199,0.000199
